name,hotel_url,adresse,rang,nbr_avis,note,prix
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
21/23 Avenue de la Porte de Châtillon, 14e arr., 75014 Paris, France
", Bien bien, · 14 972 expériences vécues,Avec une note de 7.3,"
€ 52
"
Villa Marquis Member of Meliá Collection,https://www.booking.com/hotel/fr/villa-marquis-member-of-melia-collection.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=5329608_91988888_2_2_0&highlighted_blocks=5329608_91988888_2_2_0&matching_block_id=5329608_91988888_2_2_0&sr_pri_blocks=5329608_91988888_2_2_0__51347&nad_id=6f4e19d4-b412-4c73-9e90-389862233aaf_1&nad_cpc=1.68&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlRaVHYxUUJWbW9VeFdKV0IxQVVaNnVkcjByRWhKS29kV1IrOWhFeXBacHpwTmNzUTE2RUg1M3A3V0ppdlhpNWlnd0dMazZEVERVR1k5b0haNCtTUnFBbUd2TzRwUjh0VjZFZzNrQnZiWkNacjJ5YmlIdEtTeStpWFZkNnYzY1RxZE16ZE9kMU43cnQ1K1VtWmlMZXV0VDFxSnlqTTRRc1BEcCtiYWtTY3BXSDBjVG9Pc25RTUVpaWN4U05CUG9Ga00raVg3d2p0eGhMZXc2VFA5TTQxMmZDT1BSNHJwc1R0b0tiRTVURkNpeEE5OEhPYW9kYUpnMk9CaEhyVS83dDd3VTNmVHBhVTZES0pZWkFueDJERmEyZ2FOUDd2M05hNVN2WWdaUzlkNDUyU3MwWmRvUTV0eFZnb2dwNUYrMmluOWxoRm5FUDlzb3dJUjM1d2NJNllPdzRtd3c0YStKSW04U0lyZVdOSzhhb3FWeWpXQXRsbWdLdVY3SlBaR3BHaFJHc0FjaWoxajZjSlU0d0xBTHlKWnlTUEozcGJqTFN1dHRjbStpK0llajNid1RtRSt2QytValNvTmkrQjlWdno5WWVoWldpeVo0TGZ1Wlk3dXBMcTVma0JiR2VLcHBFMUl4d3A2RGNvVFhXUlF3Rkc0Q3UyeE5tOWVlVTJ5bkwxY3FFbjE2czRqblNQVCsxYnJqVFNyaEllUDhGWGlDc1RZeVRzNkRsTTJzV0M2dWQxZnVDWXNCZ0U4U0ZFaUVrTHdBcXBMTnloeDZGTytGb3NEWHdYY3lacGNmL2J2VUtmYVN4TzhRem9GbmNNbTh1UUpVQzR2MW90am1zT2pFL3E2dEUydkJhbTB3b2JGeXlpVElkeE1MWWtTZHBlazNKWlUrWlZVVFU3REEyOUlHSkwyTHovbFNEdnQyWWs5RDVuSjRUY0IzUkhoK1VxTWVoeWxyWDZGSWJyalViZ3Z1bVFXRTZsS1VGd2RGTWpFUlBmNCtKTlhYZWpsbjR0aHpuQUM1OVJjYzV1azErTXAvVnRQTllXTXFWdG5qV3lydk9yTyt3bW1pQjNqUnpMRVV1LytDY3pVZWQwaVVjWWZLNFNZZnJFd1Y2a25ISmdTSmlscUxXRTY0bWtqZDM4K1pYRWVuYlpaRmIweWxjdDhDK1dDZGREcnRtZlMyTHpEUnN0b2g5Q1ZIczlFb1BOblFaRjd6bVV1dGpYaStvMjZMREI1anZSQVVUZGxSVFErWk05SmxvcVYzcC8yUG02a0xtVzd2UldubWZtQjg4VFNlOFNuc0lOeGhrNG5mdHVSbGZSRlpLbjV1TGRKNVl0ekVaMmVyWmhYZy9sR0dmc3h6OGV4R2NPTHV0QTZkNm40VHBaSUdrWGx0clEyTVNzM0ZQYmRzTVF6cUFJRXBZQjNiU1RCaVgvemVvSmdERnIxNWNPQ3MwWXljbXY1YzUwS1dhdm9ta0dRaUl6R0NTV3hqN0NtbHdScndSL3ZaOGttM1IvdnRPdytJM2F2MlJtVmNqd1Q0OVQwVVN5UXhLWWMxWEZvK2RBbllEQVc3YzZvTlZoRHV4UmRzclB0MW9WMkdhT2NSWng4cHRqRi9pSDVqclcxalFlU1dVM0VvREExMCtXRHRDZWRvZ2xCSEVvUlpqT3N3T0VRTUI5YmJpcHlBSm9ESWpjc0NQZWFoaWw0Q1FuSGtaam9xR01zRFUwUXBLUWQ2ekJWRVNCSm1VWXRmUWYxZlZodzJXUWJkM1ZpdXhrdktXdWxjSHRFVk9EVkVzZG5MN0xtRUdLbE11cUVpQjRqSmdNZE01VkE2SUhKVTJITksxV2YrWE9kOUZHUEtxSmZLQS9paXFFWExkM0tUL2FqaStJZzFCQnJsVVZyWUlDM25CUGQ5L1dCWGhSWXQ2dkJwNWN1NEJVVXp1SXpZNE94eE1Ga0tWejJwL3lmb0NlSFY1dCttT3NxdTJDZFRubzAzU2IzbHJ2eE82ZDNiYWF1UUJIRmtNdFU4QkVOalpLUWtJQkF0UnU2YWVyWUpnYzVFK2ZxMDdNVzBBb3ZuOVhET01jamtmanZkeWNQUExFZlJiRy9kNVB0VTBIOU9mcEZWTndVbTBHWCs1b0dhTW9yc0NFT2N4NjhyU3Q5bjhSRHdlN3VMdnhmaHROcGJOcXRETWhiUW5NN3RDVFNVa1FERkVSaHhEV3Jjd0U1dTc0bVZjckNPVlIvUjFnRmk5QWhuTDZ6aEtWN2RBeWxjcHhGV2U5QXAvcUdsOVptbEQwQWkvYlBpTy90ZTZKRUdGNmlvTzZQSGQyVG5KYlArbGNXanp1cDYwUVpKczlDZ3pXQndodTJkMHcvQ3IxSnV1cVdVclJ5VTBHWlFhVXI4anIyL0NMTHhuQ3U4SUE0V3VMNFBVb3h5bmZvb2tLYnNmeTUwT3JjTGVVdGV5TVViVWxscEdYRGthekp0eGlqQjhXUDZITWNlWldvQlpHWkxObVBxNHhtK2Z5WG0vZUZFai8rc2dvSzVDdnhRUGxKdk5MaTN3YWYzaEcvbXJsYk53Y3VnY01xSWFRc0RibzFabkJRN29tMlNERElFcXQvZTljcFpQSlNLMlVDL21VWUtaNlJYWVpEQVhnbE9BQVVTNGlaclBaNzlNSHVWeUtockVYSktTZWVBYWRQM05vekJNNU9nTlZ6OEdZMG1MWFJLOTNHY2ZJdkFudWZTOUJia1V6a3NzM1RjRGZxOFlBUkhQS1lVUTlSeDJXa1lTWVhoVkdFMWEvWTlaY1NOeGRNaFE2U1VJTkw1aGwwckx1UTVWZUJySzhPQkppS0p0cGZ3eSs1U005cmpCYUZRaGIwWE4rMHF2Y3FEU3RENTk3T3AxNWcrT0RSU0U0bm1PVVd4WVNtQlY4REZTRityZEM3V1BXS0R1aFpaMGVLTy9TNHFsMlJYQXBQOExQTDh1VzBwWEk3NmVEWisrOERTd2F6cUxZdVdTL2RCTHk4QXhEZ3d2WWd6R1E2V3BZRmxXaTRjMU1aTm1lbDFFMVNseXVWalFTYllJRDBYcXB0Yk1maUF6dEdLVE51NEY4UzdmeVJ6bVdYRnBYYTM5R1JaVFVlelRiZjlzbnlZazMvc25vclFaMUx3aFlhalVaNHhlYVFFMFp4RzdiTDBLMGVLQ2M0TGZnRnBuTUc2SmZBNTFSeUkwaEFvUXp1TktmMTRiOGRRSktnZk9mNWRPSXRRVWxZeWgwMk1kSVNScDU1Q3JwaHhrVnA2ZitXRC9zejVwUHplR2xRT3U3SURFWHdQUVZKR3kxNS9LeGFaeFdaKzhoMHFqcjRRUGhNRnpFdTJsRzRaMDNuUT09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,,,,
Hotel Europe BLV,https://www.booking.com/hotel/fr/de-l-39-europe-belleville.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=168004503_89685857_2_0_0&highlighted_blocks=168004503_89685857_2_0_0&matching_block_id=168004503_89685857_2_0_0&sr_pri_blocks=168004503_89685857_2_0_0__6500&from=searchresults#hotelTmpl,"
10, Rue Louis Bonnet, 11e arr., 75011 Paris, France
", Décevantdécevant, · 3 088 expériences vécues,Avec une note de 4.8,"
€ 65
"
Baba Hotel,https://www.booking.com/hotel/fr/baba.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=915328003_362981789_0_2_0&highlighted_blocks=915328003_362981789_0_2_0&matching_block_id=915328003_362981789_0_2_0&sr_pri_blocks=915328003_362981789_0_2_0__9621&from=searchresults#hotelTmpl,,,,,
HotelF1 Paris Saint Ouen Marché Aux Puces,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-montmartre.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=138838309_93780764_2_2_0&highlighted_blocks=138838309_93780764_2_2_0&matching_block_id=138838309_93780764_2_2_0&sr_pri_blocks=138838309_93780764_2_2_0__4714&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
29 rue du docteur Babinski, 18e arr., 75018 Paris, France
", Agréableagréable, · 14 838 expériences vécues,Avec une note de 6.4,"
€ 47
"
Hotel Luna Park,https://www.booking.com/hotel/fr/luna-park.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-26&checkout=2024-04-27&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=218875404_353164435_0_0_0&highlighted_blocks=218875404_353164435_0_0_0&matching_block_id=218875404_353164435_0_0_0&sr_pri_blocks=218875404_353164435_0_0_0__7645&from=searchresults#hotelTmpl,"
1 rue jacquard, 11e arr., 75011 Paris, France
", Bien bien, · 5 574 expériences vécues,Avec une note de 7.9,"
€ 76
"
Ideal Hotel,https://www.booking.com/hotel/fr/ideal-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=100015115_335000073_0_0_0&highlighted_blocks=100015115_335000073_0_0_0&matching_block_id=100015115_335000073_0_0_0&sr_pri_blocks=100015115_335000073_0_0_0__6277&from=searchresults#hotelTmpl,"
49 rue des Trois Bornes, 11e arr., 75011 Paris, France
", Passablepassable, · 1 444 expériences vécues,Avec une note de 5.4,"
€ 63
"
B&B HOTEL Paris Porte de la Villette,https://www.booking.com/hotel/fr/b-amp-b-paris-porte-de-la-villette.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=157579901_88527006_0_0_0&highlighted_blocks=157579901_88527006_0_0_0&matching_block_id=157579901_88527006_0_0_0&sr_pri_blocks=157579901_88527006_0_0_0__8428&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
4 Rue Emile Reynaud, 19e arr., 75019 Paris, France
", Bien bien, · 120 expériences vécues,Avec une note de 7,"
€ 84
"
Auberge Internationale des Jeunes,https://www.booking.com/hotel/fr/auberge-internationale-des-jeunes.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=320839704_114288112_0_1_0&highlighted_blocks=320839704_114288112_0_1_0&matching_block_id=320839704_114288112_0_1_0&sr_pri_blocks=320839704_114288112_0_1_0__5450&from=searchresults#hotelTmpl,"
10 Rue Trousseau, 11e arr., 75011 Paris, France
", Agréableagréable, · 3 596 expériences vécues,Avec une note de 6.3,"
€ 55
"
ibis budget Paris Porte De Montmartre,https://www.booking.com/hotel/fr/etap-paris-porte-de-montmartre.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-12&checkout=2024-04-13&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=18302405_94330518_3_2_0&highlighted_blocks=18302405_94330518_3_2_0&matching_block_id=18302405_94330518_3_2_0&sr_pri_blocks=18302405_94330518_3_2_0__6407&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
45 rue du Docteur Babinski, 18e arr., 75018 Paris, France
", Agréableagréable, · 9 844 expériences vécues,Avec une note de 6.1,"
€ 64
"
